derived_file,source_files,aggregation_formula,filtering_rules,denominator,creation_script,commit_sha,created_at
thesis_reporting/thesis_version_metadata.json,<local_thesis_dir>\main.tex; <local_thesis_dir>\Denis_Ibiši_Master_s_thesis.pdf; <local_thesis_dir>\references_rsc.bib,Direct file metadata and SHA-256 digest.,Latest files at the user-supplied paths.,"One source, one PDF, and one bibliography file.",build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase1_outer_fold_metrics.csv,thesis_results/01_reproduction/tables/nested_cv_outer_predictions.csv,Direct transcription of PR-threshold rows.,threshold_type=PR; five outer-test folds per model.,Five overlapping outer-fold test partitions per model family.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase1_model_family_summary.csv,thesis_results/01_reproduction/tables/nested_cv_outer_predictions.csv; thesis_results/01_reproduction/tables/hyperparameter_summary.csv,"Arithmetic mean, sample SD, minimum, and maximum over five PR-threshold outer-fold metrics.",One PR-threshold row per model and outer fold.,Five fold-level repetitions; training partitions overlap.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase2_foldwise_metrics.csv,thesis_results/02_replay/benchmark/per_run_round_metrics.csv,Normalised discrete trapezoidal AULC-F1 over labelled count; terminal row is maximum labelled count.,"mode=benchmark, setup=ensemble_calibrated, evaluation_dataset=holdout.",Five overlapping outer-fold conditions per strategy and n0.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase2_strategy_summary_n0_10.csv,thesis_results/02_replay/benchmark/per_run_round_metrics.csv; thesis_results/02_replay/benchmark/per_run_selected_sequences.csv; thesis_results/02_replay/evidence/labels_to_target_summary.csv; thesis_results/02_replay/benchmark/overlap/pairwise_strategy_overlap_summary.csv,Foldwise mean/sample-SD/range plus pooled selected-label yield and mean per-run Levenshtein diversity.,benchmark ensemble_calibrated holdout; initial_label_count=10.,Five overlapping folds; 500 selected records per strategy across folds.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase2_strategy_summary_n0_40.csv,thesis_results/02_replay/benchmark/per_run_round_metrics.csv; thesis_results/02_replay/benchmark/per_run_selected_sequences.csv; thesis_results/02_replay/evidence/labels_to_target_summary.csv; thesis_results/02_replay/benchmark/overlap/pairwise_strategy_overlap_summary.csv,Foldwise mean/sample-SD/range plus pooled selected-label yield and mean per-run Levenshtein diversity.,benchmark ensemble_calibrated holdout; initial_label_count=40.,Five overlapping folds; 500 selected records per strategy across folds.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase2_paired_vs_random.csv,thesis_results/02_replay/evidence/paired_vs_random.csv,Canonical corrected paired differences copied without modification.,Benchmark rows as stored.,Five matched fold conditions per initial-label condition.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase3_round_outcomes.csv,thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_001/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_002/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_003/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_004/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_005/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_006/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_007/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_008/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_001/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_002/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_003/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_004/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_005/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_006/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_007/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_008/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_001/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_002/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_003/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_004/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_005/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_006/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_007/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_008/selected_batch.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_001/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_002/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_003/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_004/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_005/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_006/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_007/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/rounds/round_008/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_001/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_002/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_003/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_004/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_005/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_006/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_007/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/rounds/round_008/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_001/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_002/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_003/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_004/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_005/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_006/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_007/review/md_review.csv; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/rounds/round_008/review/md_review.csv,Exact join by canonical sequence between selected batch and reviewed CG-MD row; cumulative positives ordered by round and file order.,"Three branches, rounds 1-8, five rows per round.",40 acquisitions per branch; 120 total.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase3_branch_summary.csv,thesis_reporting/phase3_round_outcomes.csv,"Counts, positive fraction, and pairwise normalized Levenshtein diversity over each branch's 40 selected sequences.",All eight completed rounds.,40 unique sequences per branch.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase3_branch_overlap.csv,thesis_reporting/phase3_round_outcomes.csv,Exact-sequence Jaccard overlap.,All 40 selected sequences per branch.,Set union for each branch pair.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
